"No.","Time","Source","Destination","Protocol","Length","Info"
"168","4.498433","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=9801 Win=11572 Len=0"
"169","4.501930","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=9801 Ack=1 Win=1825 Len=80"
"170","4.545319","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=9881 Win=11492 Len=0"
"171","4.549336","192.168.100.1","192.168.100.102","TCP","174","8888  >  64383 [PSH, ACK] Seq=9881 Ack=1 Win=1825 Len=120"
"172","4.591797","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=10001 Win=11372 Len=0"
"173","4.594750","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=10001 Ack=1 Win=1825 Len=80"
"174","4.638631","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=10081 Win=11292 Len=0"
"175","4.641729","192.168.100.1","192.168.100.102","TCP","238","8888  >  64383 [PSH, ACK] Seq=10081 Ack=1 Win=1825 Len=184"
"176","4.684518","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=10265 Win=11108 Len=0"
"177","4.688420","192.168.100.1","192.168.100.102","TCP","174","8888  >  64383 [PSH, ACK] Seq=10265 Ack=1 Win=1825 Len=120"
"178","4.730524","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=10385 Win=10988 Len=0"
"179","4.734618","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=10385 Ack=1 Win=1825 Len=80"
"180","4.776503","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=10465 Win=10908 Len=0"
"181","4.779995","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=10465 Ack=1 Win=1825 Len=80"
"182","4.822850","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=10545 Win=10828 Len=0"
"183","4.825625","192.168.100.1","192.168.100.102","TCP","174","8888  >  64383 [PSH, ACK] Seq=10545 Ack=1 Win=1825 Len=120"
"184","4.868664","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=10665 Win=10708 Len=0"
"185","4.871590","192.168.100.1","192.168.100.102","TCP","240","8888  >  64383 [PSH, ACK] Seq=10665 Ack=1 Win=1825 Len=186"
"186","4.915486","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=10851 Win=10522 Len=0"
"187","4.918477","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=10851 Ack=1 Win=1825 Len=80"
"188","4.966130","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=10931 Win=10442 Len=0"
